key,es,en
values.v1_desc,"Somos riders activos. Probamos y seleccionamos cada producto en las olas del Pacífico peruano.","We are active riders. We test and select every product in the waves of the Peruvian Pacific."
values.v2_title,Atención directa,Direct support
values.v2_desc,"Sin formularios ni esperas. Te atendemos personalmente por WhatsApp y te asesoramos en tu compra.","No forms or waiting. We personally attend you via WhatsApp and advise you on your purchase."
values.v3_title,Envíos a todo el Perú,Shipping nationwide
values.v3_desc,"Despachamos a Lima y provincias. Coordina el envío directamente con nosotros al hacer tu pedido.","We ship to Lima and the provinces. Coordinate delivery directly with us when you place your order."
values.v4_title,Garantía de calidad,Quality guarantee
values.v4_desc,"Todos nuestros productos pasan por un control de calidad. Si algo falla, lo resolvemos.","All our products go through quality control. If something fails, we fix it."
contact.h2,Hablemos,Let's talk
contact.sub,"¿Tienes dudas sobre qué tabla elegir? ¿Quieres hacer un pedido? Escríbenos.","Questions about which board to choose? Want to place an order? Write to us."
contact.whatsapp,WhatsApp,WhatsApp
contact.location,Ubicación,Location
contact.instagram,Instagram,Instagram
contact.cta_h3,¿Listo para surfear?,Ready to surf?
contact.cta_p,"Escríbenos por WhatsApp para coordinar tu pedido, consultar disponibilidad o pedir asesoría personalizada para elegir tu tabla ideal.","Write to us on WhatsApp to coordinate your order, check availability, or get personalized advice on your ideal board."
contact.cta_btn,Escribir por WhatsApp,Message on WhatsApp
footer.brand_p,"Tablas y accesorios de bodyboard para todos los niveles. Compra directo por WhatsApp desde Lima, Perú.","Bodyboard boards and accessories for all levels. Shop directly via WhatsApp from Lima, Peru."
footer.nav_title,Navegar,Navigate
footer.help_title,Ayuda,Help
footer.help_sizes,Guía de tallas,Size guide
footer.help_ship,Envíos,Shipping
footer.copyright,© 2026 Liquido Bodyboard · Lima Perú,© 2026 Liquido Bodyboard · Lima Peru
footer.tagline,Hecho con pasión por el bodyboard 🌊,Made with passion for bodyboarding 🌊
cart.title,Tu carrito,Your cart
cart.empty,Tu carrito está vacío.<br>Añade un producto para empezar.,Your cart is empty.<br>Add a product to get started.
cart.total,Total,Total
cart.checkout,Pedir por WhatsApp,Order on WhatsApp
cart.close,Cerrar carrito,Close cart
cart.each,c/u,each
cart.toast_added,añadido al carrito,added to cart
cart.toast_empty,Tu carrito está vacío,Your cart is empty
cart.reduce,Reducir cantidad,Decrease quantity
cart.increase,Aumentar cantidad,Increase quantity
cart.remove,Eliminar producto,Remove product
pdp.not_found_h2,Producto no encontrado,Product not found
pdp.not_found_p,El producto que buscas no existe o fue eliminado.,The product you are looking for doesn't exist or was removed.
pdp.not_found_btn,Ver catálogo,View catalog
pdp.breadcrumb_home,Inicio,Home
pdp.breadcrumb_catalog,Catálogo,Catalog
pdp.qty_label,Cantidad,Quantity
pdp.qty_dec,Reducir cantidad,Decrease quantity
pdp.qty_inc,Aumentar cantidad,Increase quantity
pdp.buy_now,Comprar por WhatsApp,Buy on WhatsApp
pdp.add_cart,Añadir al carrito,Add to cart
pdp.trust1,🌊 Calidad de playa,🌊 Surf-tested quality
pdp.trust2,🚚 Envío a Lima y provincias,🚚 Shipping to Lima & beyond
pdp.trust3,✔ Garantía Liquido,✔ Liquido guarantee
pdp.tab_desc,Descripción,Description
pdp.tab_specs,Especificaciones,Specifications
pdp.tab_notes,Notas,Notes
pdp.related,También te puede interesar,You might also like
pdp.related_view,Ver ficha,View details
pdp.related_add,Añadir,Add
pdp.stock,Stock,Stock
pdp.weight,Peso,Weight
pdp.units,uds.,units
wa.order_title,PEDIDO {store} — {tagline},ORDER {store} — {tagline}
wa.consult_title,CONSULTA DE COMPRA — {store},PURCHASE INQUIRY — {store}
wa.ref,Referencia,Reference
wa.date_label,Fecha,Date
wa.greeting,Hola {store} 👋,Hello {store} 👋
wa.confirm_order,Quisiera confirmar el siguiente pedido:,I'd like to confirm the following order:
wa.interest,Me interesa adquirir el siguiente producto:,I'm interested in purchasing the following product:
wa.order_detail,DETALLE DEL PEDIDO,ORDER DETAILS
wa.product_label,Producto,Product
wa.qty,Cantidad,Quantity
wa.unit_price,Precio unitario,Unit price
wa.subtotal,Subtotal,Subtotal
wa.total_products,Productos distintos,Different products
wa.total_units,Unidades totales,Total units
wa.total_pay,TOTAL A PAGAR,TOTAL TO PAY
wa.how_receive,¿Cómo deseo recibirlo?,How would I like to receive it?
wa.pickup,Recojo en persona ({location}),Pick up in person ({location})
wa.delivery,Envío a mi domicilio,Home delivery
wa.payment_method,Método de pago preferido:,Preferred payment method:
wa.yape,Yape / Plin,Yape / Plin
wa.transfer,Transferencia bancaria,Bank transfer
wa.cash,Efectivo contra entrega,Cash on delivery
wa.confirm_q,¿Me confirmas disponibilidad y tiempos de entrega? 🙏,Can you confirm availability and delivery times? 🙏
wa.available_q,¿Está disponible para coordinar? 🙏,Are you available to coordinate? 🙏
wa.ud,ud.,unit
wa.uds,uds.,units
